type,title,country,date_added,release_year,rating,duration,listed_in,age,is_recent,country_primary,genre_primary,year_added,imdb_rating,imdb_votes,metascore,awards,runtime,language
TV Show,The Road to Love,Colombia,2019-12-04,2019,TV-14,1 Season,"international tv shows, romantic tv shows, spanish-language tv shows",7,1,Colombia,international tv shows,2019,,,,,,
Movie,Veerappan,India,2017-10-15,2016,TV-14,117 min,"action & adventure, dramas, international movies",10,1,India,action & adventure,2017,5.3,902.0,,,125 min,Hindi
Movie,Urvi,India,2018-01-15,2017,TV-MA,121 min,"dramas, independent movies, international movies",9,1,India,dramas,2018,6.8,276.0,,1 win,151 min,Kannada
Movie,Kung Fu Yoga,"China, India, Nepal",2017-10-06,2017,TV-PG,107 min,"action & adventure, comedies, international movies",9,1,China,action & adventure,2017,5.2,12237.0,50.0,1 nomination total,107 min,"Mandarin, English"
TV Show,Flinch,United Kingdom,2019-05-03,2019,TV-PG,1 Season,reality tv,7,1,United Kingdom,reality tv,2019,4.3,834.0,,1 win,25 min,English
Movie,They Are Everywhere,"France, Belgium",2016-10-28,2016,TV-MA,110 min,"comedies, international movies",10,1,France,comedies,2016,,,,,,
Movie,Dostana,"India, United States",2020-04-01,2008,TV-14,142 min,"comedies, dramas, international movies",18,0,India,comedies,2020,6.4,16982.0,,5 wins & 22 nominations total,145 min,"Hindi, English"
Movie,The Master,United States,2021-04-15,2012,R,137 min,"dramas, independent movies",14,0,United States,dramas,2021,7.1,197015.0,86.0,Nominated for 3 Oscars. 75 wins & 187 nominations total,138 min,"English, Filipino"
Movie,Love Shot,United States,2019-07-15,2018,TV-MA,77 min,"dramas, thrillers",8,1,United States,dramas,2019,5.2,629.0,,2 wins,80 min,English
TV Show,The Nineties,United States,2018-09-30,2017,TV-14,1 Season,docuseries,9,1,United States,docuseries,2018,8.1,1373.0,,2 nominations total,60 min,English
Movie,For Greater Glory,Mexico,2019-08-02,2012,R,145 min,"dramas, international movies",14,0,Mexico,dramas,2019,6.6,5548.0,35.0,3 wins & 9 nominations total,145 min,"Spanish, English"
