title,type,release_year,age,is_recent,duration_num,is_tv,is_us,year_added,country_primary,genre_primary,rating,listed_in,cast,has_known_actor,imdb_rating,imdb_votes,trending
Je Suis Karl,Movie,2021,5,1,127.0,0,0,2021,Germany,dramas,TV-MA,"dramas, international movies","Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová",1,5.6,1624.0,0
Angry Birds,TV Show,2018,8,1,1.0,1,0,2021,Finland,kids' tv,TV-Y7,"kids' tv, tv comedies","Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",0,7.9,23.0,0
He-Man and the Masters of the Universe,TV Show,2021,5,1,1.0,1,1,2021,United States,kids' tv,TV-Y7,"kids' tv, tv sci-fi & fantasy","Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",1,5.9,2324.0,0
Jaws,Movie,1975,51,0,124.0,0,1,2021,United States,action & adventure,PG,"action & adventure, classic movies, dramas","Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",1,8.1,731140.0,1
Jaws: The Revenge,Movie,1987,39,0,91.0,0,1,2021,United States,action & adventure,PG-13,"action & adventure, horror movies, thrillers","Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",1,3.0,51517.0,1
Training Day,Movie,2001,25,0,122.0,0,1,2021,United States,dramas,R,"dramas, thrillers","Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",1,7.8,516062.0,1
InuYasha the Movie 4: Fire on the Mystic Island,Movie,2004,22,0,88.0,0,0,2021,Japan,action & adventure,TV-PG,"action & adventure, anime features, international movies","Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",1,7.2,2058.0,0
Naruto Shippuden the Movie: Blood Prison,Movie,2011,15,0,102.0,0,0,2021,Japan,action & adventure,TV-14,"action & adventure, anime features, international movies","Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",1,7.1,6638.0,0
Yowamushi Pedal,TV Show,2013,13,0,1.0,1,0,2021,Japan,anime series,TV-14,"anime series, international tv shows","Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama",1,7.6,1053.0,0
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,2018,8,1,97.0,0,1,2021,United States,documentaries,TV-MA,"documentaries, music & musicals","Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",0,7.8,1679.0,0
